reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.2,60,30,2,-5.16,1,0.1,197.84,35.49,50.17,0,0,1,6.39,300,47.66,60,1.23,-0.96,10,10,121.91,60,60,2,-15,1,6.99,234.51
0.268,60,30,2,-3.43,1,0.1,69.11,15,60,0,0,1,6.92,273.3,24.19,44.14,0.96,-3.13,10,10,129.69,60,60,1.85,-15,1,0.8,300
0.288,60,30,2,-8.27,1,0.1,50,15,60,0,0,1,0.1,300,60,30,0.72,-5.28,10,9.14,50,60,60,2,-15,1,0.1,171.07
0.258,60,30,2,-13.5,1,0.1,50,15,60,0,0,1,0.1,300,60,47.67,2,0,10,3.21,50,60,47.89,2,-15,1,0.61,50
0.257,60,30,2,-5.48,1,0.1,50,15,60,0,0,1,0.1,300,60,50.38,1.65,0,10,0.1,50,60,44.82,2,-15,1,0.78,50
0.26,47.55,30,2,-0.22,1,0.1,50,15,60,0,0,1,0.1,300,60,46.95,1.1,0,10,0.1,50,44.98,43.05,2,-15,1,2.43,50
0.26,48.61,30,2,-12.24,1,0.1,50,15,60,0,0,1,1.06,300,60,52.36,0.85,0,10,0.24,50,32.68,43.08,2,-15,1,1.31,69.72
0.291,60,30,2,-15,1,0.1,50,15,60,0.3,0,1,6.16,300,60,42.35,1.53,0,10,0.1,50,45.83,30,2,-15,1,10,50
0.28,54.48,30,2,-4.25,1,0.1,50,15,60,0,0,1,4.85,258.24,60,55.17,0.47,0,10,4.74,50,36.19,30,2,-15,1,3.93,50
0.314,37.31,30,2,0,1,0.1,50,15,60,0,0,1,8.11,300,60,51.07,0.03,0,10,0.1,50,15.2,30,2,-15,1,9.66,50
0.32,31.03,30,2,0,1,0.1,50,15,60,0,0,1,7.35,67.34,60,60,0.52,0,10,0.1,50,15,30,2,-15,1,10,50
